features,len_features,rmse
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age', 'location_country', 'category_std', 'category', 'year_of_publication']",28,1.4767535498562196
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age', 'location_country', 'category_std', 'category', 'year_of_publication', 'category_high_mean', 'year_of_publication_map', 'language', 'category_high_std', 'category_high', 'category_high_median']",34,1.4775740266907234
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age', 'location_country', 'category_std', 'category', 'year_of_publication', 'category_high_mean']",29,1.4780621717072533
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age', 'location_country', 'category_std', 'category', 'year_of_publication', 'category_high_mean', 'year_of_publication_map', 'language']",31,1.4781568268938732
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age', 'location_country', 'category_std', 'category', 'year_of_publication', 'category_high_mean', 'year_of_publication_map']",30,1.4786048839659656
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age', 'location_country', 'category_std', 'category', 'year_of_publication', 'category_high_mean', 'year_of_publication_map', 'language', 'category_high_std']",32,1.4788027499090275
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age', 'location_country', 'category_std', 'category']",27,1.4789552730158328
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age', 'location_country', 'category_std', 'category', 'year_of_publication', 'category_high_mean', 'year_of_publication_map', 'language', 'category_high_std', 'category_high']",33,1.480412963885457
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age', 'location_country']",25,1.4911111238619377
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age', 'location_country', 'category_std']",26,1.4914085469477552
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean']",22,1.4918315983105226
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category']",21,1.492094733225255
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median']",23,1.492109880121077
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category', 'var_user_category', 'category_mean', 'category_median', 'age']",24,1.4937684850601423
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high', 'std_user_category']",20,1.4941120655050224
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high']",18,1.504401651773778
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher', 'var_user_category_high', 'std_user_category_high']",19,1.5044403343945432
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn']",13,1.5128917898886765
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state', 'publisher']",17,1.513224874490484
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user']",15,1.5133184042591978
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user']",14,1.5135416099620362
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author', 'isbn', 'var_user', 'std_user', 'location_state']",16,1.5145339686347232
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var', 'book_author']",12,1.515356792604946
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id']",9,1.554536261111809
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city', 'user_rating_var']",11,1.5545400514745198
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user', 'user_id', 'location_city']",10,1.5585386869245101
['mean_user_category'],1,1.5940501685619117
"['mean_user_category', 'median_user_category']",2,1.5953511083378265
"['mean_user_category', 'median_user_category', 'mean_user_category_high']",3,1.5969993903830348
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high']",4,1.597493606585891
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg']",5,1.597830581100297
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median']",6,1.5980697968282032
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user', 'mean_user']",8,1.5985477066548104
"['mean_user_category', 'median_user_category', 'mean_user_category_high', 'median_user_category_high', 'user_rating_avg', 'user_rating_median', 'median_user']",7,1.5986267058138777
